City_ID,City_Weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
239,239,Naze,JP,28.3667,129.4833,68.92,57,100,15.48,overcast clouds
240,240,Taungdwingyi,MM,20.0167,95.55,72.9,95,58,4.99,broken clouds
241,241,Zhigansk,RU,66.7697,123.3711,11.64,95,60,5.5,broken clouds
242,242,Ampanihy,MG,-24.7,44.75,64.53,96,12,5.59,few clouds
243,243,Lagoa,PT,39.05,-27.9833,69.75,87,81,6.02,broken clouds
244,244,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,17.27,scattered clouds
245,245,Saint George,US,37.1041,-113.5841,86.95,20,0,11.99,clear sky
246,246,Manado,ID,1.487,124.8455,77.77,94,20,3.44,few clouds
247,247,Snezhnogorsk,RU,69.1933,33.2531,38.98,91,69,7.23,broken clouds
248,248,Ndele,CF,8.4109,20.6473,69.67,95,95,2.44,light rain
249,249,Huarmey,PE,-10.0681,-78.1522,64.54,80,30,8.59,scattered clouds
250,250,South Milwaukee,US,42.9106,-87.8606,61.72,78,20,4.61,few clouds
251,251,Kavaratti,IN,10.5669,72.642,80.89,76,80,9.48,broken clouds
252,252,Roros,NO,62.5747,11.3842,31.84,86,73,3.44,broken clouds
253,253,Egvekinot,RU,66.3167,-179.1667,17.08,65,36,5.21,scattered clouds
254,254,Tselinnoye,RU,53.0833,85.6667,39.51,89,72,11.97,broken clouds
255,255,Togitsu,JP,32.8333,129.85,62.58,67,75,13.8,broken clouds
256,256,Mendoza,AR,-32.8908,-68.8272,71.13,13,0,2.3,clear sky
257,257,Chulman,RU,56.8479,124.9104,20.26,99,94,1.97,overcast clouds
258,258,Namatanai,PG,-3.6667,152.4333,84.02,56,7,3.58,clear sky
259,259,Port Hardy,CA,50.6996,-127.4199,57.38,62,40,18.41,scattered clouds
260,260,Mangrol,IN,21.1167,70.1167,81.19,79,82,6.38,broken clouds
261,261,Redcliffe,AU,-27.2307,153.0973,72.14,60,20,8.05,few clouds
262,262,Harrisonburg,US,38.4496,-78.8689,61.03,53,1,2.17,clear sky
263,263,Bambanglipuro,ID,-7.95,110.2833,76.98,89,100,4.29,overcast clouds
264,264,Bethel,US,41.3712,-73.414,62.91,71,20,3.44,few clouds
265,265,Kiruna,SE,67.8557,20.2251,41.92,81,100,11.5,overcast clouds
266,266,Phan Thiet,VN,10.9333,108.1,75.97,89,99,5.41,overcast clouds
267,267,Canutama,BR,-6.5339,-64.3831,78.31,75,64,1.86,broken clouds
268,268,Bukama,CD,-9.2,25.85,74.41,26,28,1.74,scattered clouds
269,269,Ambilobe,MG,-13.2,49.05,65.37,80,0,4.21,clear sky
270,270,Oranjemund,,-28.55,16.4333,60.57,85,93,4.83,overcast clouds
271,271,Cidreira,BR,-30.1811,-50.2056,57.6,93,100,15.5,moderate rain
272,272,Gamba,GA,-2.65,10.0,76.17,89,94,4.99,light rain
273,273,Asosa,ET,10.0667,34.5333,60.24,89,100,2.3,overcast clouds
274,274,Vestmannaeyjar,IS,63.4427,-20.2734,41.38,67,96,12.55,overcast clouds
275,275,Saint-Francois,FR,46.4154,3.9054,57.67,94,100,3.44,overcast clouds
276,276,Tabou,CI,4.423,-7.3528,76.89,90,82,6.11,broken clouds
277,277,Baghdad,IQ,33.3406,44.4009,69.71,43,0,8.05,clear sky
278,278,Diamantino,BR,-14.4086,-56.4461,76.64,70,92,3.83,overcast clouds
279,279,Gigmoto,PH,13.7796,124.39,81.28,84,100,7.78,overcast clouds
280,280,Fortuna,US,40.5982,-124.1573,65.91,76,0,9.22,clear sky
281,281,Talara,PE,-4.5772,-81.2719,66.96,72,0,12.66,clear sky
282,282,Batemans Bay,AU,-35.7167,150.1833,54.1,58,36,5.01,scattered clouds
283,283,Nizwa,OM,22.9333,57.5333,74.46,24,13,2.84,few clouds
284,284,Broken Hill,AU,-31.95,141.4333,64.76,30,100,12.82,overcast clouds
285,285,Aripuana,BR,-9.1667,-60.6333,79.52,66,83,0.69,broken clouds
286,286,Surt,LY,31.2089,16.5887,73.45,62,46,13.4,scattered clouds
287,287,Isangel,VU,-19.55,169.2667,80.71,78,75,5.75,light rain
288,288,Pokoynoye,RU,44.8097,44.2517,60.15,64,100,13.51,overcast clouds
289,289,Nelidovo,RU,56.2211,32.7774,38.25,90,16,2.19,few clouds
290,290,Alta Floresta,BR,-9.8756,-56.0861,69.6,98,99,3.69,heavy intensity rain
291,291,Krasnomayskiy,RU,57.6194,34.4099,38.53,89,95,3.42,overcast clouds
292,292,Fairbanks,US,64.8378,-147.7164,34.61,79,75,3.44,broken clouds
293,293,Totness,SR,5.8833,-56.3167,78.98,90,69,13.22,broken clouds
294,294,Yashkul,RU,46.1711,45.3435,62.62,69,99,16.49,overcast clouds
295,295,Tiarei,PF,-17.5333,-149.3333,82.42,79,22,12.97,light rain
296,296,Cancun,MX,21.1743,-86.8466,82.33,78,100,6.91,overcast clouds
297,297,Kuryk,KZ,43.2,51.65,64.33,37,21,10.63,few clouds
298,298,Belle Fourche,US,44.6714,-103.8522,77.34,23,0,3.83,clear sky
299,299,Zaozerne,UA,45.1582,33.2787,56.08,59,3,9.82,clear sky
300,300,Raudeberg,NO,61.9875,5.1352,44.96,35,81,26.84,broken clouds
301,301,Laguna,US,38.421,-121.4238,95.09,29,0,9.22,clear sky
302,302,Tual,ID,-5.6667,132.75,83.08,75,99,12.88,overcast clouds
303,303,Igarka,RU,67.4667,86.5833,36.23,98,100,8.93,light rain
304,304,Paraiso,CR,9.8383,-83.8656,70.41,96,99,1.86,overcast clouds
305,305,Ponta Do Sol,PT,32.6667,-17.1,73.0,71,49,5.86,scattered clouds
306,306,Charters Towers,AU,-20.1,146.2667,76.51,61,66,13.44,broken clouds
307,307,Cayenne,GF,4.9333,-52.3333,82.44,83,75,4.61,broken clouds
308,308,Catuday,PH,16.2923,119.8062,79.66,78,66,5.84,broken clouds
309,309,Atambua,ID,-9.1061,124.8925,78.62,70,96,1.52,overcast clouds
310,310,Noumea,NC,-22.2763,166.4572,80.01,99,100,11.25,overcast clouds
311,311,Vrangel,RU,42.7297,133.0839,45.05,88,91,19.3,overcast clouds
312,312,Mgandu,TZ,-5.95,34.1333,63.32,60,37,8.81,scattered clouds
313,313,Korla,CN,41.7597,86.1469,55.42,37,87,16.55,overcast clouds
314,314,Mount Isa,AU,-20.7333,139.5,74.97,23,5,4.61,clear sky
315,315,Olinda,BR,-8.0089,-34.8553,78.53,73,40,12.66,scattered clouds
316,316,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,53.38,56,1,5.32,clear sky
317,317,Antalaha,MG,-14.9003,50.2788,65.88,88,48,7.05,scattered clouds
318,318,Mareeba,AU,-17.0,145.4333,79.48,72,10,6.62,clear sky
319,319,Ketchikan,US,55.3422,-131.6461,55.87,50,75,8.05,broken clouds
320,320,Juneau,US,58.3019,-134.4197,49.21,92,100,6.91,overcast clouds
321,321,Chifeng,CN,42.2683,118.9636,37.44,36,0,5.66,clear sky
322,322,Opuwo,,-18.0607,13.84,68.14,51,5,4.81,clear sky
323,323,Ostrovnoy,RU,68.0531,39.5131,39.56,92,56,11.3,broken clouds
324,324,Kumluca,TR,36.3703,30.2869,71.64,54,0,4.72,clear sky
325,325,Brockville,CA,44.5834,-75.6826,51.13,66,11,3.27,few clouds
326,326,Oriximina,BR,-1.7656,-55.8661,75.25,94,100,2.21,moderate rain
327,327,Tucuman,AR,-26.8241,-65.2226,71.6,20,0,5.75,clear sky
328,328,Carutapera,BR,-1.195,-46.02,78.89,79,31,8.59,scattered clouds
329,329,Caravelas,BR,-17.7125,-39.2481,75.34,81,36,7.92,scattered clouds
330,330,Quatre Cocos,MU,-20.2078,57.7625,71.71,73,64,12.53,broken clouds
331,331,Selfoss,IS,63.9331,-20.9971,35.04,66,92,7.54,light snow
332,332,Rach Gia,VN,10.0167,105.0833,76.21,88,100,6.26,moderate rain
333,333,Stabat,ID,3.761,98.4513,75.4,97,98,2.42,overcast clouds
334,334,Seoul,KR,37.5683,126.9778,47.64,76,20,4.61,few clouds
335,335,Smirnykh,RU,49.75,142.8333,47.53,95,100,12.73,overcast clouds
336,336,Kamaishi,JP,39.2667,141.8833,61.18,82,100,4.18,overcast clouds
337,337,Sitka,US,57.0531,-135.33,51.69,76,100,13.8,overcast clouds
338,338,Qandala,SO,11.472,49.8728,79.12,60,71,2.01,broken clouds
339,339,Waingapu,ID,-9.6567,120.2641,81.91,70,100,2.68,overcast clouds
340,340,Beringovskiy,RU,63.05,179.3167,32.65,56,28,9.22,scattered clouds
341,341,Tura,IN,25.5198,90.2201,71.26,96,94,4.03,overcast clouds
342,342,Kaohsiung,TW,22.6163,120.3133,74.03,81,40,2.3,scattered clouds
343,343,Pitimbu,BR,-7.4706,-34.8086,79.39,78,5,14.41,clear sky
344,344,Qasigiannguit,GL,68.8193,-51.1922,26.85,78,100,7.25,overcast clouds
345,345,San-Pedro,CI,4.7485,-6.6363,75.96,93,53,4.97,broken clouds
346,346,Tonj,SS,7.2737,28.6822,69.31,93,100,1.86,moderate rain
347,347,Northport,US,33.229,-87.5772,78.62,33,0,6.91,clear sky
348,348,Bosaso,SO,11.2842,49.1816,78.89,64,43,3.24,scattered clouds
349,349,Bairiki,KI,1.3292,172.9752,84.2,74,75,14.97,broken clouds
350,350,Poum,NC,-20.2333,164.0167,77.77,71,100,21.45,overcast clouds
351,351,Coquimbo,CL,-29.9533,-71.3436,58.73,67,20,12.66,few clouds
352,352,Mandalgovi,MN,45.7625,106.2708,32.72,27,45,1.95,scattered clouds
353,353,Shahrud,IR,36.4182,54.9763,60.1,24,0,2.17,clear sky
354,354,Ler,SS,8.3018,30.1418,69.55,94,8,3.76,clear sky
355,355,Turkan,AZ,40.3639,50.215,64.58,88,3,4.61,fog
356,356,Nortelandia,BR,-14.4547,-56.8028,79.02,66,96,4.54,overcast clouds
357,357,Conde,BR,-7.2597,-34.9075,78.26,78,20,10.36,few clouds
358,358,Zurrieq,MT,35.8311,14.4742,65.71,88,0,2.3,clear sky
359,359,Rocha,UY,-34.4833,-54.3333,44.67,83,31,6.38,scattered clouds
360,360,Goundam,ML,16.4145,-3.6708,92.97,13,6,8.08,clear sky
361,361,Alofi,NU,-19.0595,-169.9187,78.69,21,75,11.5,light intensity drizzle
362,362,Belem De Sao Francisco,BR,-8.7539,-38.9658,79.29,52,59,27.56,broken clouds
363,363,Sorong,ID,-0.8833,131.25,78.98,86,100,6.29,overcast clouds
364,364,Hovd,MN,48.0056,91.6419,36.61,55,81,4.09,broken clouds
365,365,Svetlogorsk,BY,52.6333,29.7333,40.12,86,6,3.09,clear sky
366,366,Mufulira,ZM,-12.5498,28.2407,63.25,36,22,4.52,few clouds
367,367,Hamilton,US,39.1834,-84.5333,72.43,44,0,8.05,clear sky
368,368,Luderitz,,-26.6481,15.1594,59.07,91,27,2.42,scattered clouds
369,369,Aras,ES,42.5617,-2.356,57.61,82,0,0.0,clear sky
370,370,Bartica,GY,6.4,-58.6167,82.72,89,71,3.89,broken clouds
371,371,Ust-Kuyga,RU,70.0167,135.6,7.43,98,97,8.77,overcast clouds
372,372,Byron Bay,AU,-28.65,153.6167,62.71,66,95,13.85,overcast clouds
373,373,Maumere,ID,-8.6199,122.2111,81.73,72,97,2.84,overcast clouds
374,374,Bahile,PH,9.9995,118.7878,76.87,81,67,2.35,broken clouds
375,375,Pisco,PE,-13.7,-76.2167,64.45,72,0,19.57,clear sky
376,376,Pontes E Lacerda,BR,-15.2261,-59.3353,75.58,77,68,4.63,broken clouds
377,377,Olovyannaya,RU,50.95,115.5667,37.85,42,99,2.57,overcast clouds
378,378,Ossora,RU,59.2353,163.0719,37.27,68,100,9.66,overcast clouds
379,379,Berlevag,NO,70.8578,29.0864,41.0,81,75,5.75,broken clouds
380,380,Longonjo,AO,-12.9067,15.2533,64.74,73,72,2.71,broken clouds
381,381,Mombris,DE,50.0667,9.1667,59.68,89,97,3.83,overcast clouds
